"row","kTotal","kWithin","kOut","kDiff","module","Target_annotation","Target_Contig"
"FUN_024896",505.859021271928,497.106357925277,8.75266334665099,488.353694578626,"orange","",1397
"FUN_039180",506.858080355615,497.009475074699,9.84860528091616,487.160869793782,"orange","Syt13",2129
"FUN_008328",502.103043096904,493.354601972829,8.74844112407499,484.606160848754,"orange","ADRA2B",532
"FUN_003106",502.120559906296,493.089985758296,9.03057414799997,484.059411610296,"orange","CA10_1",236
"FUN_034107",501.255362843406,492.722426400893,8.53293644251289,484.18948995838,"orange","SLC6A4",1890
"FUN_011106",499.490026323686,491.00135934193,8.4886669817559,482.512692360175,"orange","CNGB1",651
"FUN_007108",500.359657175585,490.162169424737,10.1974877508473,479.96468167389,"orange","",459
"FUN_005203",498.347854972837,488.571196332906,9.77665863993127,478.794537692974,"orange","",363
"FUN_020793",498.858732439657,488.236618425441,10.6221140142158,477.614504411225,"orange","",1196
"FUN_011811",496.213653664829,488.009559147123,8.20409451770564,479.805464629417,"orange","",687
"FUN_001144",496.587893508624,487.696504237779,8.8913892708444,478.805114966935,"orange","TMEM9",114
"FUN_025200",496.287766367689,487.618188914955,8.66957745273425,478.948611462221,"orange","",1411
"FUN_025094",497.767124581431,487.455821854494,10.3113027269363,477.144519127558,"orange","",1411
"FUN_034912",497.267163241372,487.23760034731,10.0295628940625,477.208037453248,"orange","",1915
"FUN_028267",496.785971481831,486.788338966061,9.99763251577036,476.790706450291,"orange","",1571
"FUN_005655",497.781427409115,486.448390019207,11.3330373899083,475.115352629299,"orange","dmsr-8_1",380
"FUN_040284",496.142629315345,486.06312242298,10.0795068923648,475.983615530615,"orange","",2187
"FUN_025081",493.312206767745,485.150233568451,8.16197319929466,476.988260369156,"orange","MFSD6",1408
"FUN_036686",492.143311434977,483.871764472279,8.27154696269844,475.60021750958,"orange","CACNG7_2",1986
"FUN_017424",492.541510748711,482.927475612338,9.61403513637225,473.313440475966,"orange","",1007
"FUN_003840",492.058891357188,482.647426902097,9.41146445509094,473.235962447006,"orange","KCNK18_1",291
"FUN_032241",491.17060693141,482.622478455326,8.54812847608412,474.074349979242,"orange","ARL6IP5",1787
"FUN_020919",492.645208076608,482.347201097915,10.2980069786923,472.049194119223,"orange","ARFGAP1",1196
"FUN_011559",489.959154348398,482.309346304603,7.64980804379576,474.659538260807,"orange","",676
"FUN_038668",491.175545931291,481.529949102263,9.64559682902757,471.884352273236,"orange","GPRMGL5_3",2093
"FUN_022829",489.732573803267,481.52799778115,8.20457602211701,473.323421759033,"orange","UCHL3",1307
"FUN_021299",490.833393111537,481.397298562297,9.43609454923984,471.961204013058,"orange","CRHR2",1202
"FUN_001883",491.121769351145,481.023539200965,10.0982301501808,470.925309050784,"orange","",170
"FUN_004742",489.28619776729,480.905176413298,8.38102135399197,472.524155059306,"orange","",334
"FUN_001141",490.251256969828,480.515597314365,9.73565965546209,470.779937658903,"orange","MAPK8IP1",114
"FUN_037825",492.336216912969,480.394983705998,11.9412332069717,468.453750499026,"orange","CALB1_2",2058
"FUN_001875",491.886117224148,479.737339551624,12.1487776725237,467.588561879101,"orange","",170
"FUN_001167",486.950581852857,479.370335113165,7.58024673969226,471.790088373472,"orange","",117
"FUN_028952",487.932414720135,479.204786528156,8.72762819197936,470.477158336177,"orange","",1601
"FUN_006432",487.419943879722,479.112788948565,8.3071549311577,470.805634017407,"orange","NKX6-1_1",433
"FUN_019072",490.664403191989,478.977794408669,11.68660878332,467.291185625349,"orange","NPDC1",1097
"FUN_024515",490.138761016237,478.367063703326,11.7716973129109,466.595366390415,"orange","NDRG3",1384
"FUN_010109",486.518745772547,478.330291016403,8.18845475614387,470.141836260259,"orange","CELF4",613
"FUN_034829",492.166619771125,477.577389288114,14.5892304830107,462.988158805103,"orange","SYT2_3",1912
"FUN_005991",487.100690276671,477.082856167364,10.0178341093072,467.065022058057,"orange","",399
"FUN_020756",489.063459852527,476.700770804897,12.3626890476298,464.338081757267,"orange","SRC42A",1196
"FUN_034828",490.433559842367,476.643470890566,13.7900889518007,462.853381938766,"orange","",1912
"FUN_013409",489.043402964313,476.618475273351,12.4249276909628,464.193547582388,"orange","",762
"FUN_036159",486.133816548259,476.544973061162,9.58884348709711,466.956129574065,"orange","PRKAR2B_1",1969
"FUN_029286",483.964980885422,475.716834644444,8.24814624097854,467.468688403465,"orange","TACR2",1632
"FUN_044454",483.579252143231,475.232061832117,8.34719031111359,466.884871521004,"orange","",2347
"FUN_044455",484.001907956294,475.078062156953,8.92384579934077,466.154216357613,"orange","",2347
"FUN_014294",487.887755693943,475.056806485746,12.8309492081969,462.225857277549,"orange","",817
"FUN_016792",483.085995219435,474.978878722315,8.10711649711976,466.871762225195,"orange","SLCO4C1_4",978
"FUN_037823",485.562948604821,474.954354310708,10.6085942941133,464.345760016594,"orange","CALB1_1",2058
"FUN_016748",485.960258364458,474.624292326997,11.3359660374609,463.288326289536,"orange","",971
"FUN_027640",483.128850784117,474.084201446097,9.04464933802006,465.039552108077,"orange","GABBR1_3",1532
"FUN_044996",483.530334600476,473.605806896678,9.92452770379788,463.681279192881,"orange","",2352
"FUN_003700",484.899382839181,473.577524699082,11.3218581400985,462.255666558984,"orange","",282
"FUN_020064",481.690044138544,472.955688771234,8.73435536730921,464.221333403925,"orange","GABRB2",1147
"FUN_034401",481.159769200924,472.503622254396,8.65614694652851,463.847475307867,"orange","",1899
"FUN_034486",479.938384850678,472.295936753885,7.64244809679258,464.653488657093,"orange","",1903
"FUN_001354",480.341498277231,472.050385581765,8.29111269546559,463.7592728863,"orange","",129
"FUN_007889",481.27941783159,472.010109690731,9.26930814085927,462.740801549872,"orange","LAMP1_1",514
"FUN_006564",481.593190388206,471.341141229561,10.2520491586451,461.089092070916,"orange","",435
"FUN_015339",479.963505532154,471.291592062247,8.67191346990677,462.61967859234,"orange","",885
"FUN_006888",481.96333333398,471.179366328099,10.7839670058804,460.395399322219,"orange","CFAP61_1",450
"FUN_027403",484.63857195525,471.127882214295,13.5106897409543,457.617192473341,"orange","APOA1BP",1517
"FUN_012263",478.648001200345,470.569247189123,8.07875401122226,462.4904931779,"orange","",709
"FUN_032763",477.4780090115,469.352909565286,8.12509944621371,461.227810119072,"orange","",1812
"FUN_034104",476.755798456992,469.12194542577,7.63385303122203,461.488092394548,"orange","",1890
"FUN_025509",475.849440986414,467.807093896018,8.04234709039542,459.764746805623,"orange","GRIA2_7",1425
"FUN_033985",477.337118009037,466.903493927189,10.4336240818481,456.469869845341,"orange","",1887
"FUN_039281",476.482917722559,466.831387961534,9.65152976102564,457.179858200508,"orange","",2132
"FUN_044997",475.03214754422,466.723439790803,8.30870775341714,458.414732037386,"orange","unc-17",2352
"FUN_005454",475.354159175358,465.843004799444,9.51115437591409,456.33185042353,"orange","",368
"FUN_042501",475.085001425161,465.544551467263,9.54044995789775,456.004101509365,"orange","",2308
"FUN_034433",473.238109017719,464.458673562502,8.77943545521697,455.679238107285,"orange","NPSR1_7",1902
"FUN_026941",473.883842092142,464.262338892347,9.62150319979457,454.640835692553,"orange","",1493
"FUN_034109",471.827692815661,464.21762287547,7.61006994019129,456.607552935279,"orange","",1890
"FUN_019578",477.252139541365,463.824343810796,13.427795730569,450.396548080227,"orange","goa-1",1123
"FUN_043271",473.814904925567,463.815044232387,9.99986069317981,453.815183539207,"orange","",2332
"FUN_041023",471.730646711584,463.741041936598,7.98960477498605,455.751437161611,"orange","",2225
"FUN_034106",471.12284286429,463.505145888967,7.61769697532321,455.887448913644,"orange","",1890
"FUN_024892",475.575020385859,463.450333714237,12.1246866716221,451.325647042615,"orange","",1397
"FUN_046453",469.830325652466,462.782507195681,7.04781845678497,455.734688738896,"orange","CDK5R1",2362
"FUN_019007",469.862022284288,462.256156073078,7.60586621121058,454.650289861867,"orange","",1093
"FUN_028822",471.657077576635,462.253486860384,9.40359071625147,452.849896144132,"orange","",1598
"FUN_018257",471.88138235557,462.07138818873,9.80999416683926,452.261394021891,"orange","ROBO1_1",1045
"FUN_015422",470.943071382704,461.872672039138,9.07039934356607,452.802272695572,"orange","GRIA2_4",891
"FUN_034708",472.236899925168,461.260518527287,10.9763813978809,450.284137129406,"orange","",1910
"FUN_007797",468.552857232955,461.162369149529,7.39048808342562,453.771881066104,"orange","CA10_3",507
"FUN_017741",469.072758437141,460.477444362027,8.59531407511406,451.882130286913,"orange","",1024
"FUN_005814",475.815960046203,460.447864558011,15.3680954881919,445.079769069819,"orange","RAB6B",388
"FUN_035981",470.22480080403,460.288085047597,9.9367157564331,450.351369291164,"orange","",1956
"FUN_006573",468.861038551789,460.140474112505,8.72056443928454,451.41990967322,"orange","",435
"FUN_007576",475.560085632281,460.009176041487,15.5509095907942,444.458266450693,"orange","APLP2",487
"FUN_018977",469.239832238251,459.372412843592,9.86741939465884,449.504993448933,"orange","",1090
"FUN_021570",466.491027295477,458.791156734332,7.69987056114593,451.091286173186,"orange","",1223
"FUN_030450",473.536251262979,458.60648124974,14.9297700132386,443.676711236501,"orange","CDR2",1695
"FUN_003737",467.863247392287,458.445419189889,9.41782820239814,449.02759098749,"orange","",283
"FUN_014848",469.247972242627,458.358166413931,10.8898058286951,447.468360585236,"orange","",855
"FUN_035910",469.011711993802,457.898315403737,11.1133965900651,446.784918813672,"orange","npr-9_4",1956
"FUN_011036",466.651328702695,457.834986086801,8.81634261589375,449.018643470907,"orange","",647
"FUN_013834",465.263027573605,457.539080818123,7.72394675548156,449.815134062641,"orange","GABRA4_2",780
"FUN_018100",465.800820782136,456.844693337963,8.95612744417275,447.88856589379,"orange","",1036
"FUN_023283",463.923936236577,456.476487003976,7.44744923260095,449.029037771375,"orange","",1324
"FUN_017491",464.623508076014,456.132740160424,8.49076791559042,447.641972244833,"orange","",1008
"FUN_007457",463.690382251086,455.99128253937,7.69909971171688,448.292182827653,"orange","FRRS1L",476
"FUN_033836",463.267605818456,455.693456766027,7.57414905242928,448.119307713597,"orange","",1879
"FUN_025507",462.060127308761,455.134747714497,6.92537959426397,448.209368120233,"orange","GRIA2_6",1425
"FUN_018381",461.808304420264,454.706709602948,7.10159481731512,447.605114785633,"orange","",1050
"FUN_041859",463.081909101245,454.632325382139,8.44958371910644,446.182741663032,"orange","",2261
"FUN_015767",465.696569124903,454.603165183075,11.0934039418279,443.509761241247,"orange","MMP21_1",901
"FUN_045351",465.030093913203,454.561488536321,10.4686053768815,444.09288315944,"orange","GRIA2_16",2354
"FUN_017492",462.266697651157,454.53825109194,7.72844655921682,446.809804532723,"orange","",1008
"FUN_006435",462.51853058348,453.250980667437,9.26754991604327,443.983430751394,"orange","NKX6-1_2",433
"FUN_004820",460.007208588551,452.875473839301,7.13173474924957,445.743739090052,"orange","SULT1C4_1",334
"FUN_018858",459.764380875424,452.63348424743,7.13089662799388,445.502587619436,"orange","PCSK2_2",1088
"FUN_040283",458.983604749423,452.259306384976,6.72429836444689,445.535008020529,"orange","",2187
"FUN_035162",459.763417818593,451.12193913027,8.64147868832282,442.480460441947,"orange","CHRNA7_5",1920
"FUN_015408",458.201135045806,450.833345884303,7.3677891615032,443.4655567228,"orange","",885
"FUN_004332",460.531356607633,450.301299348779,10.2300572588543,440.071242089925,"orange","BHLHE22",317
"FUN_029833",459.011639732885,450.278484666231,8.73315506665381,441.545329599577,"orange","",1672
"FUN_009171",461.798362841453,449.80616264056,11.9922002008925,437.813962439668,"orange","sro-1_1",569
"FUN_001353",456.357253015966,449.520584397995,6.83666861797099,442.683915780024,"orange","",129
"FUN_036774",458.935499654052,449.248775410786,9.68672424326564,439.562051167521,"orange","",1997
"FUN_011037",457.693323778547,448.4159756613,9.27734811724679,439.138627544053,"orange","",647
"FUN_042023",456.164900268973,448.108706699771,8.05619356920153,440.05251313057,"orange","NLGN3_10",2271
"FUN_004897",456.188635157796,448.021480869855,8.16715428794095,439.854326581914,"orange","",336
"FUN_016833",458.436834142849,447.601515649036,10.835318493813,436.766197155223,"orange","",981
"FUN_010982",454.634351799908,447.211985803361,7.4223659965474,439.789619806813,"orange","LHX3",644
"FUN_042024",455.160379820348,447.097391607649,8.06298821269962,439.034403394949,"orange","NLGN3_11",2271
"FUN_004528",459.056018089206,446.607067154042,12.4489509351633,434.158116218879,"orange","SNAP25",327
"FUN_015265",459.250124874518,445.932180664299,13.3179442102186,432.61423645408,"orange","",879
"FUN_035445",453.201088872361,445.851903058121,7.34918581423955,438.502717243882,"orange","",1938
"FUN_031671",454.61762041751,445.83504668642,8.78257373109011,437.052472955329,"orange","",1764
"FUN_002921",453.423606955141,445.301986072399,8.12162088274226,437.180365189656,"orange","PCSK1_1",222
"FUN_023117",453.750587569253,445.063673944493,8.68691362476039,436.376760319732,"orange","",1315
"FUN_023284",455.037959088904,445.061431864321,9.97652722458326,435.084904639738,"orange","",1324
"FUN_030175",454.311787805247,444.82626720634,9.48552059890699,435.340746607433,"orange","FIBCD1_4",1692
"FUN_009555",453.005406960995,444.690804422602,8.3146025383935,436.376201884208,"orange","",588
"FUN_002572",451.372664779198,444.37160442083,7.00106035836825,437.370544062461,"orange","",205
"FUN_032756",457.392671519918,444.237075580609,13.1555959393098,431.081479641299,"orange","",1812
"FUN_006278",457.396694165436,443.35226901787,14.0444251475665,429.307843870303,"orange","PRDM8_2",422
"FUN_043906",452.520674460975,442.807114057983,9.71356040299179,433.093553654992,"orange","",2344
"FUN_044554",453.859415799977,442.70632665471,11.1530891452679,431.553237509442,"orange","GCNT1",2347
"FUN_015514",453.057742451744,442.371260521237,10.6864819305075,431.684778590729,"orange","SCRN2_1",896
"FUN_030487",451.438708319684,442.363279796462,9.07542852322285,433.287851273239,"orange","SYT15_2",1695
"FUN_014484",447.834038741678,440.970168325583,6.86387041609549,434.106297909487,"orange","VAT1L",821
"FUN_004874",454.059201823628,440.537345227479,13.5218565961481,427.015488631331,"orange","",335
"FUN_028556",451.269791267454,440.531932048984,10.7378592184694,429.794072830515,"orange","",1579
"FUN_015423",448.337275560355,439.40155563834,8.93571992201549,430.465835716324,"orange","GRIA2_5",891
"FUN_006751",447.496133719365,439.396530261197,8.09960345816813,431.296926803029,"orange","",443
"FUN_031340",448.381451274193,439.354285984735,9.02716528945746,430.327120695278,"orange","gpb5",1749
"FUN_015483",447.486942004427,439.269635797514,8.21730620691307,431.052329590601,"orange","",896
"FUN_022784",449.706630982246,439.112346468034,10.5942845142121,428.518061953822,"orange","NPSR1_4",1297
"FUN_028264",454.643035295796,438.936318942241,15.7067163535551,423.229602588686,"orange","",1571
"FUN_006545",447.969620534283,437.76315145921,10.2064690750731,427.556682384136,"orange","RAP1GAP",434
"FUN_029461",445.222195906328,437.713210538853,7.50898536747519,430.204225171377,"orange","",1651
"FUN_039466",444.252224913453,437.580638326133,6.67158658732018,430.909051738813,"orange","",2145
"FUN_024838",445.501795331951,437.462660777232,8.03913455471854,429.423526222514,"orange","",1396
"FUN_035583",445.060466404575,437.382829935597,7.67763646897737,429.70519346662,"orange","",1944
"FUN_022436",448.34079965898,436.001494935701,12.3393047232797,423.662190212421,"orange","",1273
"FUN_034108",442.715703732154,435.78721757022,6.92848616193425,428.858731408286,"orange","",1890
"FUN_028953",443.32454016547,435.277552842654,8.04698732281577,427.230565519838,"orange","",1601
"FUN_011391",447.188550230868,435.140842550975,12.0477076798929,423.093134871082,"orange","",673
"FUN_008973",442.531707856577,434.598209289001,7.93349856757652,426.664710721424,"orange","",558
"FUN_045713",444.945100557215,433.886907689558,11.0581928676572,422.828714821901,"orange","ERAP1",2356
"FUN_001155",446.308409799207,433.446336443623,12.8620733555838,420.584263088039,"orange","KLC4",117
"FUN_011737",442.391792664847,433.328837872062,9.06295479278464,424.265883079278,"orange","",687
"FUN_031645",441.794924372902,432.845980253384,8.94894411951856,423.897036133865,"orange","GRIA2_10",1763
"FUN_007978",450.843868381172,432.09419054349,18.7496778376821,413.344512705808,"orange","KCNK9_2",516
"FUN_006302",439.021419864485,431.995501862157,7.02591800232756,424.96958385983,"orange","",423
"FUN_020056",438.187849317553,431.706060416822,6.48178890073041,425.224271516092,"orange","",1147
"FUN_018014",440.948400852046,431.408265038585,9.54013581346027,421.868129225125,"orange","",1033
"FUN_013614",440.382828814279,430.912398535735,9.47043027854465,421.44196825719,"orange","APBB2",769
"FUN_006839",437.770631831427,430.46704555915,7.3035862722773,423.163459286872,"orange","",445
"FUN_021169",439.648479583684,429.797485339743,9.85099424394036,419.946491095803,"orange","KIF5B",1202
"FUN_037252",436.145223378799,428.829708161629,7.31551521716995,421.514192944459,"orange","GPR98_5",2033
"FUN_013242",437.392322409627,428.540766886798,8.85155552282896,419.689211363969,"orange","",751
"FUN_026451",436.634954140005,428.518159830169,8.11679430983577,420.401365520334,"orange","CACNG7_1",1458
"FUN_017412",438.086441555742,428.342443985809,9.74399756993279,418.598446415876,"orange","",1007
"FUN_028073",438.783440780232,428.218089173219,10.565351607013,417.652737566206,"orange","",1556
"FUN_015766",443.098376082763,427.909451263705,15.1889248190587,412.720526444646,"orange","",901
"FUN_015094",437.249897824474,427.792308163015,9.45758966145905,418.334718501556,"orange","PGM2",869
"FUN_003772",436.925877340869,427.701510425027,9.22436691584164,418.477143509185,"orange","",286
"FUN_041490",441.140893406672,427.685858161376,13.455035245296,414.23082291608,"orange","GDI1",2242
"FUN_015479",434.781857905796,426.913185530958,7.86867237483835,419.04451315612,"orange","",896
"FUN_007487",436.508224799501,426.509121179662,9.9991036198391,416.510017559822,"orange","",477
"FUN_036694",433.393426740855,426.275083768936,7.11834297191837,419.156740797018,"orange","NPFFR2_3",1986
"FUN_044882",436.215995827214,425.83417754127,10.3818182859443,415.452359255326,"orange","",2351
"FUN_043854",433.292630758606,425.602523529601,7.69010722900532,417.912416300596,"orange","DPP10_1",2343
"FUN_034231",433.890063408813,425.58537542865,8.30468798016301,417.280687448487,"orange","",1897
"FUN_017531",432.434304250735,424.417934179042,8.01637007169296,416.401564107349,"orange","",1011
"FUN_041716",434.08198410947,424.313858684861,9.76812542460914,414.545733260251,"orange","",2250
"FUN_036719",431.911690579979,424.240019997398,7.6716705825815,416.568349414816,"orange","",1989
"FUN_020069",431.345659776409,423.708262740237,7.63739703617244,416.070865704064,"orange","GABRA4_3",1147
"FUN_033675",431.193911797442,423.6862217993,7.50768999814198,416.178531801158,"orange","ACT1",1876
"FUN_043450",433.042038751574,423.673303431116,9.36873532045769,414.304568110659,"orange","NRXN2_2",2335
